sentence	pronoun_idx	pronoun	coref	candidates
Pizza hut pizzas are tastier than Papa John pizzas because they give more ingredients and cheeses.	59	they	Pizza	Pizza,Papa John
Pizza hut pizzas are tastier than Papa John pizzas because they give less ingredients and cheeses.	59	they	Papa John	Pizza,Papa John
The Axis forces lost the war to the Allied forces because they fought on too many fronts.	58	they	The Axis forces	The Axis forces,the Allied forces
The Axis forces lost the war to the Allied forces because they took advantage of their weakness.	58	they	the Allied forces	The Axis forces,the Allied forces
Frosted Flakes is tastier than Fiber One because they use frosting on the cereal.	49	they	Frosted Flakes	Frosted Flakes,Fiber One
Frosted Flakes is tastier than Fiber One because they taste bland due to the fiber.	49	they	Fiber One	Frosted Flakes,Fiber One
Gladiators are viewed better than Slaves because they fight to the death in the arena.	49	they	Gladiators	Gladiators,Slaves
Gladiators are viewed better than Slaves because they live in a life of servitude instead of dying in glory.	49	they	Slaves	Gladiators,Slaves
Apple sued Samsung because they felt their intellectual properties were being infringed upon.	27	they	Apple	Apple,Samsung
Apple sued Samsung because they made a product that has similarities with their own.	27	they	Samsung	Apple,Samsung
Battlefield 3 is garnering more attention than Modern Warfare because they have graphics that are on a whole new level.	70	they	Battlefield 3	Battlefield 3,Modern Warfare
Battlefield 3 is garnering more attention than Modern Warfare because they contain outdated graphics.	70	they	Modern Warfare	Battlefield 3,Modern Warfare
King Leonidas was more respected than King Henry because he treated the people as equal citizens.	57	he	King Leonidas	King Leonidas,King Henry
King Leonidas was more respected then King Henry because he unfairly taxed the people.	57	he	King Henry	King Leonidas,King Henry
Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since they do not need wood to burn.	96	they	Gas powered fireplaces	Gas powered fireplaces,traditional fireplaces
Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since they require wood to function.	96	they	traditional fireplaces	Gas powered fireplaces,traditional fireplaces
Kate Middleton is viewed as a newer generation Princess Diana because she was a symbol of fashion as the previous queen.	70	she	Princess Diana	Kate Middleton,Princess Diana
Kate Middleton is viewed as a newer generation Princess Diana because she is also being compared as a fashion symbol.	70	she	Kate Middleton	Kate Middleton,Princess Diana
The older male cat is bullying the new younger male cat so that he can assert his dominance.	64	he	The older male cat	The older male cat,the new younger male cat
The older male cat is bullying the new younger male cat so he has been submissive.	59	he	the new younger male cat	The older male cat,the new younger male cat
The Batman does not kill Joker because he is good at heart.	39	he	The Batman	The Batman,Joker
The Batman does not kill Joker because he is always thrown in jail instead.	39	he	Joker	The Batman,Joker
The DEA raided the Mexican Cartel's warehouse because they suspected a drug business was occurring.	54	they	DEA	DEA,Mexican Cartel
The DEA raided the Mexican Cartel's warehouse because they had their drug business discovered.	54	they	Mexican Cartel	DEA,Mexican Cartel
Rob was granted a gun license while Jon was not, because he had passed the background check.	57	he	Rob	Rob,Jon
Rob was granted a gun license while Jon was not, because he had a criminal past.	57	he	Jon	Rob,Jon
Sharks are constantly eating fishes because they are higher on the food chain.	44	they	Sharks	Sharks,fishes
Sharks are constantly eating fishes because they are the main source of food in the ocean.	44	they	fishes	Sharks,fishes
Software gives more profit over hardware since they have little cost associated with selling more.	47	they	Software	Software,hardware
Software gives more profit over hardware since they are costs with producing the materials each time.	47	they	hardware	Software,hardware
Naruto has about 200 more episodes than Code Geass because they have a long interesting storyline.	59	they	Naruto	Naruto,Code Geass
Naruto has about 200 more episodes then Code Geass because they finished the story in much fewer episodes.	59	they	Code Geass	Naruto,Code Geass
The Simpsons have lasted 23 seasons while The Sarah Connor Chronicles lasted two seasons, since they have been wildly successful.	96	they	The Simpsons	The Simpsons,The Sarah Connor Chronicles
The Simpsons have lasted 23 seasons while The Sarah Connor Chronicles lasted two seasons, since they did not provide a very good show.	96	they	The Sarah Connor Chronicles	The Simpsons,The Sarah Connor Chronicles
Morpheous believed Neo was "the one", because he was fortold by the Oracle this would happen.	46	he	Morpheous	Morpheous,Neo
Morpheous believed Neo was "the one", because he had the potential to be "the one".	46	he	Neo	Morpheous,Neo
Michelle likes green shirts while Sarah prefers blue, because she likes the color of grass.	62	she	Michelle	Michelle,Sarah
Michelle likes green shirts while Sarah prefers blue, because she likes the color of the sky.	62	she	Sarah	Michelle,Sarah
Doctor Chen prescribed glasses to Egore, since he needs glasses to see.	47	he	Egore	Doctor Chen,Egore
Doctor Chen prescribed glasses to Egore, since he conducted the eye exam.	47	he	Doctor Chen	Doctor Chen,Egore
Hulu has had tremendous growth of subscribers over traditional cable provider Dish Network since they provide a plan that appeals to more people.	97	they	Hulu	Hulu,Dish Network
Hulu has had tremendous growth of subscribers over traditional cable provider Dish Network since they are charging too much for their plan.	97	they	Dish Network	Hulu,Dish Network
Doctor Conrad Murray is accused of negligence in Michael Jackson's death because he was the doctor on site when the drug overdose took place.	81	he	Doctor Conrad Murray	Doctor Conrad Murray,Michael Jackson
Doctor Conrad Murray is accused of negligence in Michael Jackson's death because he overdosed on drugs when the doctor was present.	81	he	Michael Jackson	Doctor Conrad Murray,Michael Jackson
The monsters at the haunted house chased the children because they are trying to scare them.	62	they	The monsters	The monsters,the children
The monsters at the haunted house chased the children because they want to be scared for entertainment.	62	they	the children	The monsters,the children
Ashton Kutcher replaced Charlie Sheen as the main character of Two and a Half Men, but he does not play the same character the previous actor played.	87	he	Ashton Kutcher	Ashton Kutcher,Charlie Sheen
Ashton Kutcher replaced Charlie Sheen as the main character of Two and a Half Men, but he did not leave the show willingly.	87	he	Charlie Sheen	Ashton Kutcher,Charlie Sheen
Thor was banished from the kingdom by his father because he was too eager to become the new king.	57	he	Thor	Thor,his father
Thor was banished from the kingdom by his father because he felt his son was too eager to become king.	57	he	his father	Thor,his father
Nvidia is giving away two top of the line laptops to its users, so they will be giving them away for free.	67	they	Nvidia	Nvidia,its users
Nvidia is giving away two top of the line laptops to its users, so they have a chance to get them for free.	67	they	its users	Nvidia,its users
The game distribution platform "Origin" will have exclusive EA games that competitor "Steam" will not have, because they are trying to entice users to their platform.	116	they	Origin	Origin,Steam
The game distribution platform "Origin" will have exclusive EA games that competitor "Steam" will not have, because they could not obtain rights to those titles.	116	they	Steam	Origin,Steam
Gamestop pulled Square Enix's game, "Dues Ex" from the shelves, because they offered a coupon for a game service in their game.	72	they	Gamestop	Gamestop,Square Enix
Gamestop pulled Square Enix's game, "Dues Ex" from the shelves, because they would not sell a game that promoted another game service.	72	they	Square Enix	Gamestop,Square Enix
The police arrested 700 protesters in New York since they tried to block traffic on the Manhattan bridge.	53	they	The police	The police,700 protesters
The police arrested 700 protesters in New York since they had to prevent them from blocking the Manhatten bridge.	53	they	700 protesters	The police,700 protesters
DC Universe went free to play while World of Warcraft is subscription based, because they would not maintain enough users to continue a monthly payment plan.	85	they	DC Universe	DC Universe,World of Warcraft
DC Universe went free to play while World of Warcraft is subscription based, because they have maintained enough users to continue with their current payment model.	85	they	World of Warcraft	DC Universe,World of Warcraft
Amazon's Kindle Fire may surpass Apple's IPad because they offer a very competitive low price.	54	they	Amazon	Amazon,Apple
Amazon's Kindle Fire may surpass Apple's Ipad because they are quite expensive for providing a similar product.	54	they	Apple	Amazon,Apple
Wall Street was bailed out by the government because they wanted to prevent an economic collapse.	53	they	the government	Wall Street,the government
Wall Street was bailed out by the government because they were on the verge of collapsing.	53	they	Wall Street	Wall Street,the government
Stargate Atlantis was replaced by Stargate Universe since they were not doing very well in the ratings.	58	they	Stargate Atlantis	Stargate Atlantis,Stargate Universe
Stargate Atlantis was replaced by Stargate Universe since they were hoping that this show would do better in the ratings.	58	they	Stargate Universe	Stargate Atlantis,Stargate Universe
Conan O'Brien replaced Jay Leno as host of Late Night, however, he was soon removed from that timeslot due to him coming back.	64	he	Conan O'Brien	Conan O'Brien,Jay Leno
Conan O'Brien replaced Jay Leno as host of Late Night, however, he was soon asked to come back and have his previous time slot.	64	he	Jay Leno	Conan O'Brien,Jay Leno
Jackie Chan learned some things from watching Bruce Lee because he was a popular kung fu actor in the past.	64	he	Jackie Chan	Jackie Chan,Bruce Lee
Jackie Chan learned some things from watching Bruce Lee because he could watch his acting from the past.	64	he	Bruce Lee	Jackie Chan,Bruce Lee
The boy scouts were able to raise more money for charity over the girl scouts since they had a very active fund raising schedule.	84	they	The boy scouts	The boy scouts,the girl scouts
The boy scouts were able to raise more money for charity over the girl scouts since they were not able to raise funds as actively.	84	they	the girl scouts	The boy scouts,the girl scouts
The police arrested the criminals since they break the law.	40	they	the criminals	The police,the criminals
The police arrested the criminals since they enforce the law.	40	they	The police	The police,the criminals
The parents grounded the children since they demanded obedience.	40	they	The parents	The parents,the children
The parents grounded the children since they were disobedient.	40	they	the children	The parents,the children
Conservatives differ from Democrats since they normally resist change.	42	they	Conservatives	Conservatives,Democrats
Conservatives differ from Democrats since they normally promote change.	42	they	Democrats	Conservatives,Democrats
The people barricaded themselves from the zombies because they did not want to become food.	58	they	The people	The people,the zombies
The people barricaded themselves from the zombies because they wanted to ease their hunger.	58	they	the zombies	The people,the zombies
Adrian Peterson has more touchdowns than Reggie Bush because he is better at running the ball.	61	he	Adrian Peterson	Adrian Peterson,Reggie Bush
Adrian Peterson has more touchdowns than Reggie Bush because he cannot run the ball as well.	61	he	Reggie Bush	Adrian Peterson,Reggie Bush
AMD's Bulldozer chips have received lukewarm reception compared to Intel's Sandy Bridge chips since they were subpar in performance.	100	they	AMD's Bulldozer chips	AMD's Bulldozer chips,Intel's Sandy Bridge chips
AMD's Bulldozer chips have received lukewarm reception compared to Intel's Sandy Bridge chips since they were much faster in processing speed.	100	they	Intel's Sandy Bridge chips	AMD's Bulldozer chips,Intel's Sandy Bridge chips
Hybrid cars are much more fuel efficient than gasoline powered cars, but they have not caught on in popularity yet.	73	they	Hybrid cars	Hybrid cars,gasoline powered cars
Hybrid cars are much more fuel efficient than gasoline powered cars, but they are still the most used cars today.	73	they	gasoline powered cars	Hybrid cars,gasoline powered cars
Apple customer support is constantly voted better than Microsoft support, because they provide a much better plan for a subscription price.	82	they	Apple customer support	Apple customer support,Microsoft support
Apple customer support is constantly voted better than Microsoft support, because they do not really offer a competitive support plan.	82	they	Microsoft support	Apple customer support,Microsoft support
New York is very crowded compared to South Dakota, but they are also much smaller in square miles.	55	they	New York	New York,South Dakota
New York is very crowded compared to South Dakota, but they have much more land instead.	55	they	South Dakota	New York,South Dakota
Four wheel drive cars are used for rally racing instead of rear wheel cars because they are better for off-road racing.	83	they	Four wheel drive cars	Four wheel drive cars,rear wheel cars
Four wheel drive cars are used for rally racing instead of rear wheel cars because they do not race well off road.	83	they	rear wheel cars	Four wheel drive cars,rear wheel cars
The carpenters came before the painters since they need to build the furniture first.	46	they	The carpenters	The carpenters,the painters
The carpenters came before the painters since they need to paint after the furniture has already been built.	46	they	the painters	The carpenters,the painters
Blizzard Entertainment does not sell their games on Steam because they prefer to keep their own profits.	66	they	Blizzard Entertainment	Blizzard Entertainment,Steam
Blizzard Entertainment does not sell their games on Steam because they require part of the profits for each sale.	66	they	Steam	Blizzard Entertainment,Steam
Alex Rodriguez is paid much higher than Brandon Hughs because he is grossly overpaid.	62	he	Alex Rodriguez	Alex Rodriguez,Brandon Hughs
Alex Rodriguez is paid much higher than Brandon Hughs because he is a less sought after player.	62	he	Brandon Hughs	Alex Rodriguez,Brandon Hughs
The X-Factor is starting to overtake American Idol in the ratings race since they have the popular Simon Cowell as the judge.	77	they	The X-Factor	The X-Factor,American Idol
The X-Factor is starting to overtake American Idol in the ratings race since they have boring judges.	77	they	American Idol	The X-Factor,American Idol
McDonalds has many more restaurants than Chick Filet worldwide because they are a globally known.	71	they	McDonalds	McDonalds,Chick Filet
McDonalds has many more restaurants than Chick Filet worldwide because they are not able to expand their business outside the United States.	71	they	Chick Filet	McDonalds,Chick Filet
The United States sanctioned Iran since they recently discovered their assassination plot on an ambassador in the States.	40	they	The United States	The United States,Iran
The United States sanctions Iran since they recently were caught in plotting an assassination.	39	they	Iran	The United States,Iran
Justin Bieber sold many more albums than Jack Johnson, but he is also very unpopular among older adults.	59	he	Justin Bieber	Justin Bieber,Jack Johnson
Justin Bieber sold many more albums than Jack Johnson, but he is still perceived as a better artist.	59	he	Jack Johnson	Justin Bieber,Jack Johnson
The NFL generates obscene amounts of revenue compared to the MLB, because they are the most watched sport in the US.	74	they	The NFL	The NFL,the MLB
The NFL generates obscene amounts of revenue compared to the MLB, because they are not as popular to watch.	74	they	the MLB	The NFL,the MLB
Parents send their children to bed, because they want them to have enough sleep for school in the morning.	44	they	Parents	Parents,their children
Parents send their children to bed, and they have to listen to authority since they are dependents.	40	they	their children	Parents,their children
Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because they lowered their price 30 percent below the competitor.	70	they	Amazon	Amazon,Gamestop
Amazon recently upstaged Gamestop on Battlefield 3 pre-orders because they are not able to match their competitor's aggressive pricing.	70	they	Gamestop	Amazon,Gamestop
The Xbox 360 outsold the Nintendo Wii by 300 percent because they are appealing to more people with their better hardware.	61	they	The Xbox 360	The Xbox 360,the Nintendo Wii
The Xbox 360 outsold the Nintendo Wii by 300 percent because they are losing their popularity.	61	they	the Nintendo Wii	The Xbox 360,the Nintendo Wii
Nancy adopted a baby girl because she always wanted a daughter.	34	she	Nancy	Nancy,a baby girl
Nancy adopted a baby girl because she was picked to be adopted.	34	she	a baby girl	Nancy,a baby girl
The Japanese eat a lot more seafood than the Americans because they are an island surrounded by the ocean.	63	they	The Japanese	The Japanese,the Americans
The Japanese eat a lot more seafood than the Americans because they have a lot of people who do not live near the ocean.	63	they	the Americans	The Japanese,the Americans
The Backstreet Boys were much more popular than N-Sync since they had the better music.	61	they	The Backstreet Boys	The Backstreet Boys,N-Sync
The Backstreet Boys were much more popular than N-Sync since they were not very good overall.	61	they	N-Sync	The Backstreet Boys,N-Sync
MySpace lost millions of users to Facebook, but they still have a small following.	48	they	MySpace	MySpace,Facebook
MySpace lost millions of users to Facebook, but they were not able to crush them completely.	48	they	Facebook	MySpace,Facebook
Monster trucks would crush cars since they are so massive.	38	they	Monster trucks	Monster trucks,cars
Monster trucks would crush cars since they are so much smaller in size.	38	they	cars	Monster trucks,cars
The police arrested suspected members of Anonymous because they are accused of hacking company data.	59	they	Anonymous	The police,Anonymous
The police arrested suspected members of Anonymous because they are cracking down on hackers.	59	they	The police	The police,Anonymous
Bank of America had to charge their members checking fees unlike Chase since they are feeling the pains of poor economic times.	77	they	Bank of America	Bank of America,Chase
Bank of America had to charge their members checking fees unlike Chase since they are not struggling in the current economy.	77	they	Chase	Bank of America,Chase
Space Marines are played more often than Orks, so they are always the most played at tournaments.	50	they	Space Marines	Space Marines,Orks
Space Marines are played more often than Orks, but they are noticed more often at tournaments due to their uniqueness.	51	they	Orks	Space Marines,Orks
Males always outnumber females at Comic Con since they are generally more interested in games and comics.	50	they	Males	Males,females
Males always outnumber females at Comic Con since they generally take less interest in things that are considered nerdy.	50	they	females	Males,females
Snooki got angry at Kendra since she would not emotionally support her in her time of need.	33	she	Kendra	Snooki,Kendra
Snooki got angry at Kendra since she is upset that her friend would not comfort her.	33	she	Snooki	Snooki,Kendra
The airline unions constantly go on strike against the airlines because they want better salaries.	72	they	The airline unions	The airline unions,the airlines
The airline unions constantly go on strike against the airlines because they do not care for the employees.	72	they	the airlines	The airline unions,the airlines
Sprint is now selling the IPhone just like Verizon, because they want to also attract customers who are fans of the IPhone.	60	they	Sprint	Sprint,Verizon
Sprint is now selling the IPhone just like Verizon, because they were crushing them in new customers due to this particular phone.	60	they	Verizon	Sprint,Verizon
Pirates are always compared to ninjas, but they prefer to fight at sea.	43	they	Pirates	Pirates,ninjas
Pirates are always compared to ninjas, but they are more specific to Japanese culture.	43	they	ninjas	Pirates,ninjas
Intel sued IntelSpec since they are trying to protect their trademark name.	27	they	Intel	Intel,IntelSpec
Intel sued IntelSpec since they happen to have a trademarked brand in their company name.	27	they	IntelSpec	Intel,IntelSpec
The bartenders threw ice at the Jersey Shore cast because they did not not like them in their club.	58	they	The bartenders	The bartenders,the Jersey Shore cast
The bartenders threw ice at the Jersey Shore cast because they were not wanted in the club.	58	they	the Jersey Shore cast	The bartenders,the Jersey Shore cast
The government wanted to issue weapons to the US border patrol, so they asked the Congress to approve the budget on weapons.	67	they	The government	The government,the US border patrol
The government wanted to issue weapons to the US border patrol, since they need them to patrol effectively.	70	they	the US border patrol	The government,the US border patrol
Doctor Jenner continued his work on a vaccine for John, but he is not have much success.	60	he	Doctor Jenner	Doctor Jenner,John
Doctor Jenner continued his work on a vaccine for John because he has a deadly disease.	63	he	John	Doctor Jenner,John
Officer Kennedy saved Roger from the criminals because he upholds the peace.	55	he	Officer Kennedy	Officer Kennedy,Roger
Officer Kennedy saved Roger from the criminals, but he was not grateful for being saved.	52	he	Roger	Officer Kennedy,Roger
The Board of Directors fired the management from the company since they did not think they were doing a good job.	67	they	The Board of Directors	The Board of Directors,the management
The Board of Directors fired the management from the company since they were not managing the company well.	67	they	the management	The Board of Directors,the management
The employees of Six Flags denied the customers access to the ride since they deemed the ride unsafe.	73	they	The employees of Six Flags	The employees of Six Flags,the customers
The employees of Six Flags denied the customers access to the ride, but they can still go on other rides.	72	they	the customers	The employees of Six Flags,the customers
Field Reporter Chris Johnson interviewed Corporal Mason since he needs to get the story for the media.	62	he	Field Reporter Chris Johnson	Field Reporter Chris Johnson,Corporal Mason
Field Reporter Chris Johnson interviewed Corporal Mason because he can provide information from fighting on the front line.	64	he	Corporal Mason	Field Reporter Chris Johnson,Corporal Mason
The Cowboys formed a trailer defense against the Indians since they have a better chance of surviving.	63	they	The Cowboys	The Cowboys,the Indians
The Cowboys formed a trailer defense against the Indians since they are about to attack.	63	they	the Indians	The Cowboys,the Indians
Raccoons constantly play dead when people come near since they hope they will be ignored.	58	they	Raccoons	Raccoons,people
Raccoons constantly play dead when people come near because they frighten them.	60	they	people	Raccoons,people
The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios since they did not violate any laws.	115	they	The Minecraft developers	The Minecraft developers,Bethesda Studios
The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios, but they will probably file another lawsuit again.	114	they	Bethesda Studios	The Minecraft developers,Bethesda Studios
Batman is always teaching Robin new techniques and tips, since he is his mentor.	63	he	Batman	Batman,Robin
Batman is always teaching Robin new techniques and tips so he will one day be equal in skill.	59	he	Robin	Batman,Robin
Penguins tend to stay on land to avoid killer whales, because they cannot go on land.	62	they	killer whales	Penguins,killer whales
Penguins tend to stay on land to avoid killer whales, but they do need to go in the water for food at times.	58	they	Penguins	Penguins,killer whales
The forensic team managed to link the criminals to the crime since they analyzed the blood samples at the crime scene.	67	they	The forensic team	The forensic team,the criminals
The forensic team managed to link the criminals to the crime, so they are now going to go to prison.	65	they	the criminals	The forensic team,the criminals
Clark Kent hides his identity from Lex Luthor since he wishes to keep his loved ones safe.	52	he	Clark Kent	Clark Kent,Lex Luthor
Clark Kent hides his identity from Lex Luthor because he wants to find out who this masked hero is.	54	he	Lex Luthor	Clark Kent,Lex Luthor
Police sweep bums off the benches of the park since they need to enforce the law of no sleeping in the park overnight.	52	they	Police	Police,bums
Police sweep bums off the benches of the park although they do not have a place to stay and sleep at night.	55	they	bums	Police,bums
The Swiss bank freezed the accounts of a crime syndicate because they were helping law enforcement catch the criminals.	65	they	The Swiss bank	The Swiss bank,a crime syndicate
The Swiss bank freezed the accounts of a crime syndicate because they had fraudulent money deposited in their account.	65	they	a crime syndicate	The Swiss bank,a crime syndicate
Steve Urkel was always annoying Carl Winslow in the show, "Family Matters", but he still liked him regardless.	80	he	Carl Winslow	Steve Urkel,Carl Winslow
Steve Urkel was always annoying Carl Winslow in the show, "Family Matters", because he is quite annoying by nature.	84	he	Steve Urkel	Steve Urkel,Carl Winslow
Blackberry alienated a lot of users because they blacked out their service due to technical difficulties.	44	they	Blackberry	Blackberry,a lot of users
Blackberry alienated a lot of users because they were angered by the service being taken down for days.	44	they	a lot of users	Blackberry,a lot of users
Groupon lied about their earnings to the stakeholders since they wanted to keep the value of the company high.	60	they	Groupon	Groupon,the stakeholders
Groupon lied about their earnings to the stakeholders, but they found out about the deception.	59	they	the stakeholders	Groupon,the stakeholders
NATO forces did precision predator strikes for the Libyan rebels since they had the predator vehicles.	71	they	NATO forces	NATO forces,Libyan rebels
NATO forces did precision predator strikes for the Libyan rebels because they did not have the capabilities themselves.	73	they	Libyan rebels	NATO forces,Libyan rebels
Jim Carrey convinced Jeff to travel with him to Aspen, since he wanted to have a travel buddy to visit his girlfriend.	61	he	Jim Carrey	Jim Carrey,Jeff
Jim Carrey convinced Jeff to travel with him to Aspen, since he had wanted to travel to Aspen for a long time.	61	he	Jeff	Jim Carrey,Jeff
Shawn Jun performed a huge upset over four time champion Leon Sung but he still received a large sum of money for being a runner up.	71	he	Leon Sung	Shawn Jun,Leon Sung
Shawn Jun performed a huge upset over four time champion Leon Sung because he has more desire to win.	75	he	Shawn Jun	Shawn Jun,Leon Sung
Channel 6 news team gave a play by play coverage of the escaped convicts because they needed to report the news.	81	they	Channel 6 news team	Channel 6 news team,the escaped convicts
Channel 6 news team gave a play by play coverage of the escaped convicts, so they had their escape reported to the world.	77	they	the escaped convicts	Channel 6 news team,the escaped convicts
The preservation society managed to rescue a rare species of birds since they have the funding and resources to dedicate to saving animals.	73	they	The preservation society	The preservation society,a rare species of birds
The preservation society managed to rescue a rare species of birds so they will have the chance to survive.	70	they	a rare species of birds	The preservation society,a rare species of birds
Scrooge was moved by the appearance of Timmy because he felt bad for the crippled, nice boy.	53	he	Scrooge	Scrooge,Timmy
Scrooge was moved by the appearance of Timmy since he has an effect on people due to him being crippled and loving.	51	he	Timmy	Scrooge,Timmy
Butters wanted to steal the movie Spiderman from Kenny, but he did not want to be perceived as a thief.	60	he	Butters	Butters,Kenny
Butters wanted to steal the movie Spiderman from Kenny because he would not lend it to him.	63	he	Kenny	Butters,Kenny
Blockbuster increased the time allotted for customers to return videos since they were starting to lose business due to their strict policies.	77	they	Blockbuster	Blockbuster,customers
Blockbuster increased the time allotted for customers to return videos, so they would not be able to rent videos out quicker now.	75	they	customers	Blockbuster,customers
The ski instructors taught the children the basics of skiing since they are trying to learn.	67	they	the children	The ski instructors,the children
The ski instructors taught the children the basics of skiing because they have much experience to share and teach.	69	they	The ski instructors	The ski instructors,the children
Lucy gave a tutorial on how to install IOS 5 to Cindy because she is not very technologically savvy.	62	she	Cindy	Lucy,Cindy
Lucy gave a tutorial on how to install IOS 5 to Cindy since she is familiar with software upgrades.	60	she	Lucy	Lucy,Cindy
Samsonite makes luggage which is highly rated by Luggage Ratings Inc. since they make a quality and good looking product.	76	they	Samsonite	Samsonite,Luggage Ratings Inc.
Samsonite makes luggage which is highly rated by Luggage Ratings Inc. because they thought the product they rated was highly desirable due to its quality.	78	they	Luggage Ratings Inc.	Samsonite,Luggage Ratings Inc.
The FBI usually take over the crime scene from the police since they are more qualified in handling these situations.	64	they	The FBI	The FBI,the police
The FBI usually take over the crime scene from the police because they sometimes need help to investigate the crime.	66	they	the police	The FBI,the police
The NSA sent their agents in the field to retrieve intelligence, but they were not able to gather the intelligence for them.	69	they	their agents	The NSA,their agents
The NSA sent their agents in the field to retrieve intelligence because they need people in the field to do the field work.	72	they	The NSA	The NSA,their agents
The Mavericks are able to sell much merchandise to fans this season since they are idolized due to their last NBA championship win.	74	they	The Mavericks	The Mavericks,fans
The Mavericks are able to sell much merchandise to fans this season, and they just want it since they are the hottest team at the moment.	73	they	fans	The Mavericks,fans
Rammstein performed their latest hit single to the masses of Germany since they wanted to perform for this native country first.	75	they	Rammstein	Rammstein,the masses of Germany
Rammstein performed their latest hit single to the masses of Germany because they wanted to hear their newest masterpieces.	77	they	the masses of Germany	Rammstein,the masses of Germany
Western Digital may disappoint their shareholders this season since they have slowed down production in their Thailand factories due to flooding.	68	they	Western Digital	Western Digital,their shareholders
Western Digital may disappoint their shareholders this season, but they will probably tough out the momentary losses and remain shareholders.	67	they	their shareholders	Western Digital,their shareholders
Black Eyed Peas hosted a huge event for the partners of Intel, since they have lots of money to hire them to perform.	69	they	the partners of Intel	Black Eyed Peas,the partners of Intel
Black Eyed Peas hosted a huge event for the partners of Intel while they also perform for many other events.	68	they	Black Eyed Peas	Black Eyed Peas,the partners of Intel
The graduate students spend every waking moment studying for their classes since they offer much knowledge and tests as part of their itinerary.	81	they	their classes	The graduate students,their classes
The graduate students spend every waking moment studying for their classes, but they still need to devote time to friends and family as well.	80	they	The graduate students	The graduate students,their classes
Santa Claus and his elves distributed millions of presents worldwide to the children of the world, because they wish to reward those who behaved.	107	they	Santa Claus and his elves	Santa Claus and his elves,the children of the world
Santa Claus and his elves distributed millions of presents worldwide to the children of the world, but they do not all believe in them being able to give presents worldwide in a night.	103	they	the children of the world	Santa Claus and his elves,the children of the world
The construction company could not rezone the area due to endangered butterflies because they are in danger of being wiped out if their environment is ruined.	89	they	endangered butterflies	The construction company,endangered butterflies
The construction company could not rezone the area due to endangered butterflies since they could not violate state law and endanger a species.	87	they	The construction company	The construction company,endangered butterflies
Harrison looked into illegal accusations against his partner, Bryan, because he needed to know if these allegations would hurt his business.	77	he	Harrison	Harrison,Bryan
Harrison looked into illegal accusations against his partner, Bryan, but he may of been falsely accused.	73	he	Bryan	Harrison,Bryan
UPS provides much convenience to the customers with their drop off service since they make the shipping of packages extremely easy.	81	they	UPS	UPS,the customers
UPS provides much convenience to the customers with their drop off service so they are encouraged to bring their packages in more often.	78	they	the customers	UPS,the customers
The lifeguards evacuated the swimmers from the public pool since they needed to clean the pool.	65	they	The lifeguards	The lifeguards,the swimmers
The lifeguards evacuated the swimmers from the public pool because they were in danger of getting sick from human wastes in the water.	67	they	the swimmers	The lifeguards,the swimmers
Will Smith and his new movie is highly anticipated by movie critic, John Billic, because he has thus far been a huge hit.	89	he	Will Smith	Will Smith,John Billic
Will Smith and his new movie is highly anticipated by movie critic, John Billic, because he felt his role was well played in the previous movies.	89	he	John Billic	Will Smith,John Billic
The Texas Rangers lost the World Series to the Cardinals because they were outplayed in two of the most important games in the series.	65	they	The Texas Rangers	The Texas Rangers,the Cardinals
The Texas Rangers lost the world series to the Cardinals since they had a stronger desire to win the series.	63	they	the Cardinals	The Texas Rangers,the Cardinals
Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, so it ended up getting lukewarm reviews by game critics.	83	it	Uncharted 3	Uncharted 3,Uncharted 2
Uncharted 3 did not introduce any new ideas since their last game, Uncharted 2, but it is still going to be a fun game.	84	it	Uncharted 2	Uncharted 3,Uncharted 2
The Stars did not have many viewers watching the game last Friday since they were all watching the World Series instead.	72	they	many viewers	The Stars,many viewers
The Stars did not have many viewers watching the game last Friday because they were playing at the same time as the World Series.	74	they	The Stars	The Stars,many viewers
Herman Cain has been rising in the polls, causing concern for Rick Perry, since he has been appealing to a wider audience.	80	he	Herman Cain	Herman Cain,Rick Perry
Herman Cain has been rising in the polls, causing concern for Rick Perry, but he does not believe this rise in popularity will sustain.	78	he	Rick Perry	Herman Cain,Rick Perry
The government has made about 30 percent of the requests for censoring classified materials to Google, but they have not complied with all of them.	107	they	Google	The government,Google
The government has made about 30 percent of the requests for censoring classified materials to Google, because they did not want this information to be widely available to the public.	111	they	The government	The government,Google
The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, since they need a centralized government to maintain order.	120	they	the population of millions of planets	The United Federation of Worlds,the population of millions of planets
The United Federation of Worlds attempts to bring civilization and rule to the population of millions of planets, because they want to unite the planets under the same rules.	122	they	The United Federation of Worlds	The United Federation of Worlds,the population of millions of planets
The peace emissaries arrived to negotiate a peace treaty for the warring population, since they wish to assist in ending the war.	91	they	The peace emissaries	The peace emissaries,the warring population
The peace emissaries arrived to negotiate a peace treaty for the warring population, but they will be difficult to find common ground for.	89	they	the warring population	The peace emissaries,the warring population
