id	source	target	pronoun_idx	pronoun	selected_nouns	candidates_nouns	label
337	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his research.	100	he	Xenophanes	Xenophanes|his research|the difficulties|Sam Goodman's biography|a vivid sense	0
338	I stuck a pin through a carrot. When I pulled the pin out, it left a hole.	The pin left a hole.	59	it	The pin	a hole|a pin|the pin|a carrot	1
339	Jackson was greatly influenced by Arnold, though he lived two centuries later.	Arnold lived two centuries later.	49	he	Arnold	centuries|Arnold|Jackson	0
340	The politicians far away in Washington could not know the settlers so they must make rules to regulate them.	They must make rules to regulate the settlers.	103	them	the settlers	Washington|rules|The politicians|the settlers	1
341	As Andrea in the crop duster passed over Susan, she could see the landing gear.	Andrea could see the landing gear.	48	she	Andrea	the crop duster|Andrea|Susan|the landing gear	0
342	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	She stroked Alice's hair and let the child weep.	61	her	Alice	Mama|Alice|her hair|the child	1
343	Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.	He will be moving out of The new house on Thursday.	87	it	The new house	The new house|Thursday|Joe|a new one|miles	0
344	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	She stroked Mama's hair and let the child weep.	61	her	Mama	Mama|Alice|her hair|the child	0
345	Joan made sure to thank Susan for all the help she had recieved.	Joan made sure to thank Susan for all the help Joan had recieved.	47	she	Joan	all the help|Susan|Joan	1
346	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the table there all the time.	206	it	the table	a book|soul|the body|the dining-room table|another cove|the life|a dinner party|time|a chappie|the table	0
347	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Antonio into a drug runner.	215	him	Antonio	his father's disciple|a drug runner|a gang leader|Larry|death|Antonio|a Brooklyn housing project|his widowed mother|a timid teen-ager|Larry's father|his wing	1
348	The older students were bullying the younger ones, so we punished them.	We punished the older students.	66	them	the older students	the younger ones|The older students	1
349	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.	The chatbots were so advanced.	102	they	The chatbots	the judges|which respondents|the Loebner competition|the chatbots	1
350	Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.	Pam and Paul were embarrassed about it.	75	They	Paul	Paul|her boyfriend|sex|Pam's parents	1
351	During a game of tag, Ethan ran from Luke because he was "it".	Ethan was "it".	50	he	Ethan	Luke|tag|Ethan|a game	0
352	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.	I couldn't get the key out.	116	it	the key	the lock|the key|the keyhole|chewing gum|someone	0
353	Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.	Since Alice always has good luck, Alice spotted her quickly.	53	she	Alice	Jade|Alice|good luck|the crowd|her friend	1
354	Since it was raining, I carried the newspaper over my backpack to keep it dry.	I carried the newspaper over my backpack to keep the newspaper dry.	71	it	the newspaper	my backpack|the newspaper	0
355	Madonna fired her trainer because she couldn't stand her boyfriend.	She couldn't stand the trainer's boyfriend.	53	her	trainer	Madonna|trainer|her boyfriend	1
356	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.	Kamchatka was victorious within weeks.	113	they	Kamchatka	Kamtchatka|July|Kamchatka|weeks|Yakutsk's army|war|Yakutsk|times	0
357	Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.	Bill was the winner of the competition.	62	he	Bill	Frank|the winner|his longtime rival|Bill|the competition	1
358	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.	Bob is very ungrateful.	92	He	Bob	Charlie|Bob|Charlie's college education	0
359	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	He no longer requires Mr. Moncrieff's financial support.	223	his	Mr. Moncrieff's	Edward|his son|Edward's allowance|his financial support|the ground|Chester's luxurious New York apartment|The result|Mr. Moncrieff's	1
360	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.	The scientists appeared two years ago.	108	They	The scientists	years|three species|the Indian Ocean|The scientists|fish	0
361	The painting in Mark's living room shows an oak tree. It is to the right of a house.	The painting is to the right of a house.	54	It	The painting	Mark's living room|an oak tree|the right|a house|The painting	0
362	The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.	The gang members were trying to stop the drug trade in the neighborhood.	45	They	The gang members	The police|the gang members|the drug trade|the neighborhood	0
363	Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.	Any direction on his own account was just another proof of Mr. Taylor's innate idiocy.	200	his	Mr. Taylor's	his own account|any direction|uncertain temper|Mr. Taylor's|David|his innate idiocy|his general tendency|just another proof|a man|a poor chump|whatever step	0
364	John was jogging through the park when he saw a man juggling watermelons. He was very impressed.	The juggler was very impressed.	74	He	The juggler	the park|The juggler|John|a man|watermelons	0
365	The foxes are getting in at night and attacking the chickens. They have gotten very bold.	The chickens have gotten very bold.	62	They	The chickens	The foxes|the chickens|night	0
366	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.	Adam would be here by this time.	100	he	Adam	Adam|this time|time|work|Bob	0
367	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.	Yakutsk was victorious within weeks.	113	they	Yakutsk	Kamtchatka|July|weeks|Yakutsk's army|war|Yakutsk|times	1
368	Mary tucked her daughter Anne into bed, so that she could sleep.	Mary tucked her daughter Anne into bed, so that Mary could sleep.	48	she	Mary	Anne|Mary|bed|her daughter	0
369	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mark needed to get him to finish his work, because his work was beautiful.	140	He	Mark	Mr. Schmidt|day|an hour|his work|a long nap|dinner|Mark	1
370	Men had the right to keep their sons working for them until they were 21 years of age.	Men had the right to keep their sons working for them until the men were 21 years of age.	60	they	the men	the men|the right|their sons|21 years|age	0
371	Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.	We should make fewer of the chocolate chip cookies.	130	them	the chocolate chip cookies	only a few people|the chocolate chip cookies|time|Everyone|the oatmeal cookies	1
372	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.	When Fred first saw my father, Fred was twelve years old.	102	he	Fred	years|my father|Fred|an infant|the only man	1
373	Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.	Paul's books are popular because Paul writes so well.	64	They	Paul's books	Paul|Many people|Paul's books	1
374	Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.	He opened his hands when the wind stopped.	90	them	his hands	Fred|his eyes|the wind|his hands|sand	0
375	The donkey wished a wart on its hind leg would disappear, and it did.	The donkey wished a wart on its hind leg would disappear, and donkey did.	62	it	donkey	donkey|a wart|its hind leg	0
376	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.	The chatbots were so stupid.	102	they	The chatbots	the judges|which respondents|the Loebner competition|the chatbots	0
377	This book introduced Shakespeare to Goethe; it was a major influence on his writing.	It was a major influence on Goethe's writing.	72	his	Goethe	Shakespeare|This book|Goethe|a major influence|his writing	1
378	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.	I don't know who the guy in uniform was, but he looked very unhappy.	92	he	the guy in uniform	the guy in uniform|Jim|a huge red beard|a military uniform|some guy	1
379	John couldn't see the stage with Billy in front of him because he is so short.	Billy is so short.	63	he	Billy	John|the stage|front|Billy	0
380	George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.	George was not particularly eager to see it.	71	he	George	George|the play|Eric|free tickets	1
381	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No time today to look at old pictures in Mama's favorite photo album.	127	her	Mama	the living room|No time|Mama|Today|old pictures|Alice|a chair|a button|the album|the button|her favorite photo album	0
382	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.	I couldn't get the chewing gum in.	116	it	the chewing gum	the chewing gum|the lock|the key|the keyhole|someone	0
383	The trophy doesn't fit into the brown suitcase because it is too small.	The suitcase is too small.	55	it	The suitcase	The suitcase|The trophy	1
384	The lawyer asked the witness a question, but he was reluctant to answer it.	The lawyer was reluctant to answer it.	45	he	The lawyer	The lawyer|the witness|a question	0
385	Joan made sure to thank Susan for all the help she had recieved.	Joan made sure to thank Susan for all the help Susan had recieved.	47	she	Susan	all the help|Susan|Joan	0
386	Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.	Mark took upon himself the feeding and care of the animal.	159	he	Mark	the stable boys|the animal|care|the white horse|Blaze|the Burlington Stables|the feeding|Mark	1
387	Tatyana managed two guitars and a bag, and still could point out the Freemans: "Isn't it nice that they have come, Mama!"	Isn't it nice that the two guitars and a bag have come, Mama!"	99	they	the two guitars and a bag	Mama|the Freemans|a bag|Tatyana|the two guitars and a bag|two guitars	0
388	Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.	Pete should have been more truthful.	73	He	Pete	Pete|many lies|his book|Mark	0
389	Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.	Ray reached the bottom of the stairs.	42	he	Ray	Ray|Tom|the stairs|his schoolbag|the bottom	1
390	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.	The opponents were very much in the minority.	117	They	The opponents	the town hall|the minority|The opponents|the sponsors|the bill|the room	0
391	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.	Adam would have lost.	97	he	Adam	Adam|a sudden run|good luck|cards|Bob	1
392	My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.	The meeting was short, so it worked out.	104	it	The meeting	the train|The meeting|much time	1
393	John couldn't see the stage with Billy in front of him because he is so tall.	John is so tall.	63	he	John	John|the stage|front|Billy	0
394	All the buttons up the back of Dora's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.	She had left poor little Dora to do the best Maude could, alone.	173	she	Maude	the back|Maude|poor little Dora|All the buttons|in|Dora's plaid dress	0
395	I'm sure that my map will show this building; it is very good.	The building is very good.	46	it	The building	my map|The building	0
396	Tom gave Ralph a lift to school so he wouldn't have to walk.	Ralph wouldn't have to walk.	35	he	Ralph	Tom|Ralph|school|a lift	1
397	Sid explained his theory to Mark but he couldn't understand him.	Sid couldn't understand him.	37	he	Sid	Sid|his theory|Mark	0
398	In the middle of the outdoor concert, the rain started falling, but it continued until 10.	The rain continued until 10.	68	it	The rain	the middle|the rain|the outdoor concert	0
399	Frank was upset with Tom because the toaster he had bought from him didn't work.	The toaster Frank had bought from him didn't work.	45	he	Frank	Tom|Frank|the toaster	1
400	Dan took the rear seat while Bill claimed the front because his "Dibs!" was slow.	Dan took the rear seat while Bill claimed the front because Bill's "Dibs!" was slow.	60	his	Bill	the front|the rear seat|Dan|Bill|his "Dibs	0
401	The table won't fit through the doorway because it is too wide.	The table is too wide.	48	it	The table	The table|the doorway	1
402	Jane knocked on the door, and Susan answered it. She invited her to come in.	Susan invited her to come in.	49	She	Susan	Jane|the door|Susan	1
403	The foxes are getting in at night and attacking the chickens. I shall have to guard them.	I shall have to guard The foxes.	84	them	The foxes	The foxes|the chickens|night	0
404	The city councilmen refused the demonstrators a permit because they advocated violence.	The city councilmen advocated violence.	63	they	The city councilmen	violence|a permit|the demonstrators|The city councilmen	0
405	Bob paid for Charlie's college education. He is very generous.	Charlie is very generous.	42	He	Charlie	Charlie|Bob|Charlie's college education	0
406	Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.	She writes the article when she gets home from work.	106	it	the article	the library|the article|the book|Sara|work	1
407	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No time today to look at old pictures in Alice's favorite photo album.	127	her	Alice	the living room|No time|Mama|Today|old pictures|Alice|a chair|a button|the album|the button|her favorite photo album	1
408	Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.	The ankles should be better.	85	they	The ankles	month|Sam|The ankles|crutches	1
409	The dog chased the cat, which ran up a tree. It waited at the bottom.	The cat waited at the bottom.	45	It	The cat	the bottom|a tree|The dog|the cat	0
410	Jane gave Joan candy because she wasn't hungry.	Joan wasn't hungry.	29	she	Joan	Jane|candy|Joan	0
411	I sallied out for a bit of food, more to pass the time than because I wanted it.	I sallied out for a bit of food, more to pass the time than because I wanted time.	77	it	time	time|a bit|food	0
412	The fish ate the worm. It was hungry.	The fish was hungry.	23	It	The fish	the worm|The fish	1
413	As Andrea in the crop duster passed over Susan, she could see the landing gear.	Susan could see the landing gear.	48	she	Susan	the crop duster|Andrea|Susan|the landing gear	1
414	Mary tucked her daughter Anne into bed, so that she could sleep.	Mary tucked her daughter Anne into bed, so that Mary's daughter could sleep.	48	she	Mary's daughter	bed|Mary's daughter|Anne|her daughter|Mary	1
415	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	Chester no longer requires his financial support.	201	he	Chester	Mr. Moncrieff|Edward|his son|Edward's allowance|Chester|his financial support|Chester's luxurious New York apartment|The result|the ground	0
416	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.	The dog was cooler.	147	it	The dog	the middle|the lawn|a summer afternoon|the dog|a spot|a while|the tree	0
417	I'm sure that my map will show this building; it is very famous.	The map is very famous.	46	it	The map	The map|this building	0
418	We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.	The ocean beach was a dangerous place to swim.	74	it	The ocean beach	a dangerous place|a shark|the ocean beach|the lake	1
419	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	The captain and all the captain's crew had best stay in the cabin until the work was over.	234	his	captain	the cabin|Mr. Singer's heels|not one thing|all his crew|the ship|the work|only the ammunition|stay|everyone|night|the jargon|captain|Mark	1
420	This book introduced Shakespeare to Ovid; it was a major influence on his writing.	It was a major influence on Ovid's writing.	70	his	Ovid	Shakespeare|This book|Ovid|a major influence|his writing	0
421	Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.	Mark should have been more truthful.	73	He	Mark	Pete|many lies|his book|Mark	1
422	Jim signaled the barman and gestured toward his empty glass.	Jim signaled the barman and gestured toward The barman's empty glass.	44	his	barman	barman|Jim|his empty glass	0
423	Susan knew that Ann's son had been in a car accident, because she told her about it.	Ann told her about it.	62	she	Ann	Ann|Ann's son|Susan|a car accident	1
424	The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.	Beside the food there were crocks, baskets, and a five-quart pail of milk.	60	it	the food	crocks|milk|the food|baskets|The table|a five-quart pail|the floor	0
425	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet.	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at the poodle's feet.	126	his	poodle	swoon|a pallid young dandy|his feet|poodle|a jade-handled walking stick|C.K. Dexter Haven	0
426	Fred watched TV while George went out to buy groceries. After an hour he got up.	George got up.	70	he	George	Fred watched TV|George|groceries|an hour	0
427	Steve follows Fred's example in everything. He admires him hugely.	Steve admires him hugely.	44	He	Steve	Fred's example|Steve|everything	1
428	Lily spoke to Donna, breaking her concentration.	Lily spoke to Donna, breaking Lily's concentration.	30	her	Lily	Donna|her concentration|Lily	0
429	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.	She was careful not to disturb Tatyana , undressing and climbing back into her berth.	88	her	Tatyana	her berth|her mother|the cabin|Tatyana	0
430	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.	Charlie is very ungrateful.	92	He	Charlie	Charlie|Bob|Charlie's college education	1
431	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	Amy's parents are fifteen.	86	they	Amy's parents	Amy|Sam|Amy's parents|love	0
432	Joan made sure to thank Susan for all the help she had given.	Joan made sure to thank Susan for all the help Joan had given.	47	she	Joan	all the help|Susan|Joan	0
433	Tom said "Check" to Ralph as he moved his bishop.	Tom said "Check" to Ralph as he moved Ralph's bishop.	38	his	Ralph	Tom|Ralph|his bishop	0
434	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.	The sponsors were very much in the minority.	117	They	The sponsors	the town hall|the minority|opponents|the sponsors|the bill|the room	1
435	The sculpture rolled off the shelf because it wasn't level.	The sculpture wasn't level.	43	it	The sculpture	the shelf|The sculpture|level	0
436	Joe's uncle can still beat him at tennis, even though he is 30 years younger.	Joe's uncle is 30 years younger.	54	he	Joe's uncle	years|Joe's uncle|tennis	0
437	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.	I don't know why Jim was, but he looked very unhappy.	92	he	Jim	some guy|a military uniform|Jim|a huge red beard	1
438	Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.	People are gripped because Paul writes so well.	64	They	People	Paul|People|Paul's books	1
439	Sam's drawing was hung just above Tina's and it did look much better with another one above it.	Sam's drawing did look much better with another one above it.	45	it	Sam's drawing	another one|Tina|Sam's drawing	0
440	We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.	The lake was a dangerous place to swim.	74	it	The lake	a dangerous place|a shark|the ocean beach|the lake	0
441	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mr. Schmidt needed to get him to finish his work, because his work was beautiful.	140	He	Mr. Schmidt	Mr. Schmidt|day|an hour|his work|a long nap|dinner|Mark	0
442	The man lifted the boy onto his bunk bed.	The man lifted the boy onto the boy's bunk bed.	28	his	boy	his bunk bed|The man|boy	1
443	So Mark slept. It was daylight when he woke with Warren's hand upon his shoulder.	It was daylight when he woke with Warren's hand upon Mark's shoulder.	68	his	Mark	Warren's hand|his shoulder|Mark	1
444	Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.	Bill was the winner of the competition.	65	he	Bill	Frank|the winner|his longtime rival|Bill|the competition	0
445	The delivery truck zoomed by the school bus because it was going so fast.	The delivery truck was going so fast.	52	it	The delivery truck	The delivery truck|the school bus	1
446	Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.	Since Jade always wears a red turban, Alice spotted her quickly.	53	she	Jade	Jade|Alice|a red turban|the crowd|her friend	1
447	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.	Now I have to get The tree repaired.	94	it	The tree	the tree|the roof|my house|the storm	0
448	Mary tucked her daughter Anne into bed, so that she could work.	Mary tucked her daughter Anne into bed, so that Mary's daughter could work.	48	she	Mary's daughter	bed|Mary's daughter|Anne|her daughter|Mary	0
449	Tom said "Check" to Ralph as he moved his bishop.	Tom said "Check" to Ralph as he moved Tom's bishop.	38	his	Tom	Tom|Ralph|his bishop	1
450	Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.	Bob was very concerned.	64	He	Bob	Bob|the sidewalk|Carl	0
451	The man couldn't lift his son because he was so heavy.	The man was so heavy.	38	he	The man	The man|his son	0
452	I used an old rag to clean the knife, and then I put it in the drawer.	I put the rag in the drawer.	53	it	the rag	the knife|the drawer|the rag	0
453	The storekeepers stayed in town to run their stores and lived in the rooms behind them.	The storekeepers stayed in town to run their stores and lived in the rooms behind the stores.	82	them	the stores	town|The storekeepers|the stores|the rooms	1
454	Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.	Paul's books are gripped because Paul writes so well.	64	They	Paul's books	Paul|Many people|Paul's books	0
455	Jim yelled at Kevin because he was so upset.	Kevin was so upset.	28	he	Kevin	Kevin|Jim	0
456	Kirilov ceded the presidency to Shatov because he was less popular.	Shatov was less popular.	47	he	Shatov	the presidency|Shatov|Kirilov	0
457	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the chair.	242	it	the chair	the living room|No time|Mama|Today|old pictures|Alice|a button|the album|the chair|the button|her favorite photo album	0
458	Sam took French classes from Adam, because he was eager to speak it fluently.	Sam was eager to speak it fluently.	43	he	Sam	Adam|Sam|French classes	1
459	The city councilmen refused the demonstrators a permit because they feared violence.	The demonstrators feared violence.	63	they	The demonstrators	violence|a permit|the demonstrators|The city councilmen	0
460	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.	Charlie is very hurt.	92	He	Charlie	Charlie|Bob|Charlie's college education	0
461	Look! There is a shark swimming right below that duck! It had better get away to safety fast!	The duck had better get away to safety fast!	55	It	The duck	The duck|a shark swimming|safety	1
462	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.	Bob would have won.	97	he	Bob	Adam|a sudden run|good luck|cards|Bob	1
463	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.	The customer was immediately taken to the police station.	66	He	The customer	the bank|the police station|The customer|the tellers	1
464	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry into a drug runner.	215	him	Larry	his father's disciple|a drug runner|a gang leader|Larry|death|Antonio|a Brooklyn housing project|his widowed mother|a timid teen-ager|Larry's father|his wing	0
465	This book introduced Shakespeare to Goethe; it was a fine selection of his writing.	It was a fine selection of Goethe's writing.	71	his	Goethe	Shakespeare|This book|Goethe|his writing|a fine selection	0
466	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.	The spot under the tree was cooler.	147	it	the tree	the middle|the lawn|a summer afternoon|the dog|a spot|a while|the tree	1
467	The drain is clogged with hair. It has to be removed.	The hair has to be removed.	32	It	The hair	The drain|The hair	1
468	We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.	The lake was a safer place to swim.	74	it	The lake	a safer place|a shark|the ocean beach|the lake	1
469	The firemen arrived after the police because they were coming from so far away.	The firemen were coming from so far away.	45	they	The firemen	the police|The firemen	1
470	Carol believed that Rebecca regretted that she had stolen the watch.	Carol believed that Rebecca regretted that Carol had stolen the watch.	43	she	Carol	Carol|Rebecca|the watch	0
471	Billy cried because Toby wouldn't accept his toy.	Billy cried because Toby wouldn't accept Billy's toy.	41	his	Billy	his toy|Toby|Billy	1
472	Dr. Adams informed Kate that she had retired and presented several options for future treatment.	Kate had retired and presented several options for future treatment.	29	she	Kate	Dr. Adams|Kate|several options|future treatment	0
473	The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.	Folks said he died just to be ride of the Wainwrights' everlasting nagging.	159	their	Folks said he died just to be ride of the Wainwrights'	his will|Mr. Crowley|Folks said he died just to be ride of the Wainwrights'|their favor|their everlasting nagging|Folks|The Wainwrights|a prince|dirt	1
474	The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.	Tina was too hard to pronounce.	106	it	Tina	years|pronounce|The actress|Terpsichore|Tina	0
475	Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.	Dora asked what the town was.	90	it	the town	a sound|Dora|Dad|firecrackers|the town|corn	0
476	Dr. Adams informed Kate that she had cancer and presented several options for future treatment.	Dr. Adams had cancer and presented several options for future treatment.	29	she	Dr. Adams	Dr. Adams|future treatment|Kate|several options|cancer	0
477	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.	I don't know who Jim was, but he looked very unhappy.	92	he	Jim	some guy|a military uniform|Jim|a huge red beard	0
478	Joe paid the detective after he delivered the final report on the case.	The detective delivered the final report on the case.	29	he	The detective	the detective|the final report|Joe|the case	1
479	Jane knocked on Susan's door but she did not get an answer.	Jane did not get an answer.	33	she	Jane	Jane|Susan's door|an answer	1
480	Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: "There's plenty."	Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Tatyana's mother to the table.	196	her	Tatyana's mother	Grandma|an abundance|the place|her shawl|plenty|her shoulders|her guests|food|Tatyana's mother|Tatyana|a wide, scrawny embrace|honor|the table	1
481	Susan knows all about Ann's personal problems because she is nosy.	Susan is nosy.	54	she	Susan	Ann's personal problems|Susan	1
482	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the album.	242	it	the album	the living room|No time|Mama|Today|old pictures|Alice|a chair|a button|the album|the button|her favorite photo album	1
483	The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.	The sun was gone.	95	it	The sun	the time|the picnic|morning|The sun|a thick cloud	0
484	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	She was careful not to disturb her, undressing and climbing back into Tatyana's berth.	127	her	Tatyana	her berth|her mother|the cabin|Tatyana	1
485	Jim signaled the barman and gestured toward his empty glass.	Jim signaled the barman and gestured toward Jim's empty glass.	44	his	Jim	the barman|Jim|his empty glass	1
486	The fish ate the worm. It was tasty.	The fish was tasty.	23	It	The fish	the worm|The fish	0
487	The lawyer asked the witness a question, but he was reluctant to repeat it.	The witness was reluctant to repeat it.	45	he	The witness	The lawyer|the witness|a question	0
488	The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.	The cat was too impatient.	63	it	The cat	the mouse|The cat|the mouse hole	1
489	Pete envies Martin although he is very successful.	Pete is very successful.	28	he	Pete	Pete|Martin|envies	1
490	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.	Now I have to get The roof removed.	94	it	The roof	the tree|the roof|my house|the storm	0
491	George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.	George was particularly eager to see it.	75	he	George	George|the play|Eric|free tickets	1
492	The painting in Mark's living room shows an oak tree. It is to the right of a house.	The oak tree is to the right of a house.	54	It	The oak tree	Mark's living room|the right|a house|The painting|The oak tree	1
493	Look! There is a minnow swimming right below that duck! It had better get away to safety fast!	The minnow had better get away to safety fast!	56	It	The minnow	The minnow|that duck|safety|a minnow swimming	1
494	The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.	The oak tree is to the right of the bookcase.	54	It	The oak tree	Mark's living room|the bookcase|the right|The painting|The oak tree	0
